icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
accd18,DAL3167 ,United States,1719547597,1719547597,-84.5274,39.143,3634.74,False,199.98,349.33,0.33,,3794.76,2014,False,0,0
a748bc,DAL214  ,United States,1719547596,1719547596,-11.5476,49.6075,12496.8,False,274.32,101.25,0,,12923.52,,False,0,0
a36130,DAL2549 ,United States,1719547589,1719547597,-77.4538,38.9483,,True,0.06,5.62,,,,7122,False,0,0
899134,EVA607  ,Taiwan,1719547597,1719547597,-147.8689,58.8562,10363.2,False,240.74,278.36,0,,10553.7,,False,0,0
ad1c16,DAL1283 ,United States,1719547597,1719547597,-78.5592,39.3186,7597.14,False,233.95,48.39,-3.58,,7993.38,6056,False,0,0
ab2b2c,DAL236  ,United States,1719547592,1719547594,-65.956,46.8526,10668,False,278.62,39.98,-0.33,,10751.82,2504,False,0,0
acf4e8,DAL3072 ,United States,1719547596,1719547596,-84.2653,35.5999,1363.98,False,110.44,56.01,-4.55,,1402.08,5220,False,0,0
a3f120,DAL537  ,United States,1719547596,1719547596,-77.0509,38.6277,1143,False,99.51,23.78,-5.53,,1181.1,0651,False,0,0
accd18,DAL3167 ,United States,1719548159,1719548159,-84.3224,39.8543,708.66,False,72.07,55.18,-4.55,,723.9,2014,False,0,0
a748bc,DAL214  ,United States,1719548159,1719548159,-9.4724,49.3184,12496.8,False,275.93,102.82,0,,12923.52,1165,False,0,0
899134,EVA607  ,Taiwan,1719548159,1719548159,-150.1845,59.0261,10363.2,False,243.6,285.18,0,,10538.46,,False,0,0
ad1c16,DAL1283 ,United States,1719548159,1719548159,-77.4368,40.0227,3642.36,False,193.9,45.75,-12.68,,3787.14,6303,False,0,0
a74505,,United States,1719548148,1719548148,-15.9484,51.1918,12192,False,283.4,108.96,0,,,,False,0,0
ab772d,,United States,1719548052,1719548052,-15.3246,51.0376,10668,False,266.36,109.52,0,,11010.9,,False,0,0
ab2b2c,DAL236  ,United States,1719547933,1719548014,-65.1384,47.5102,10668,False,285.25,40.76,0,,10736.58,2504,False,0,0
acf4e8,DAL3072 ,United States,1719548158,1719548158,-83.9972,35.8094,,True,9.26,225,,,,5220,False,0,0
a3f120,DAL537  ,United States,1719548156,1719548156,-77.0399,38.853,,True,4.37,177.19,,,,7107,False,0,0
accd18,DAL3167 ,United States,1719548263,1719548265,-84.2542,39.8908,342.9,False,69.08,55.01,-2.6,,335.28,2014,False,0,0
a748bc,DAL214  ,United States,1719548272,1719548272,-9.0517,49.2548,12496.8,False,276.9,103.21,0,,12923.52,1165,False,0,0
899134,EVA607  ,Taiwan,1719548273,1719548273,-150.6507,59.0907,10363.2,False,243.7,284.8,0,,10530.84,,False,0,0
ad1c16,DAL1283 ,United States,1719548273,1719548273,-77.2725,40.1466,2804.16,False,153.88,44.59,-10.08,,2903.22,4755,False,0,0
a74505,,United States,1719548148,1719548148,-15.9484,51.1918,12192,False,283.4,108.96,0,,,,False,0,0
ab772d,DAL88   ,United States,1719548258,1719548258,-14.5642,50.9728,10668,False,265.48,95.11,0,,11010.9,,False,0,0
ab2b2c,DAL236  ,United States,1719548272,1719548273,-64.2933,48.167,10668,False,286.55,41.21,0,,10728.96,2504,True,0,0
acf4e8,DAL3072 ,United States,1719548271,1719548271,-83.9924,35.8058,,True,1.54,78.75,,,,5220,False,0,0
a3f120,DAL537  ,United States,1719548231,1719548240,-77.0407,38.8524,,True,0,258.75,,,,7107,False,0,0
accd18,DAL3167 ,United States,1719548422,1719548422,-84.2198,39.9022,,True,7.46,112.5,,,,2014,False,0,0
a748bc,DAL214  ,United States,1719548427,1719548427,-8.4801,49.1656,12496.8,False,278.37,103.57,0,,12923.52,1165,False,0,0
ad1c16,DAL1283 ,United States,1719548426,1719548427,-77.0403,40.1986,1630.68,False,140.74,107.44,-2.6,,1676.4,4755,False,0,0
a74505,,United States,1719548406,1719548406,-14.9601,50.9958,12192,False,283.4,108.96,0,,,,False,0,0
ab772d,DAL88   ,United States,1719548425,1719548426,-13.9361,50.932,10668,False,267.58,96.29,0,,11010.9,,False,0,0
ab2b2c,DAL236  ,United States,1719548427,1719548427,-63.8989,48.4656,10668,False,285.73,41.5,0,,10728.96,2504,False,0,0
acf4e8,DAL3072 ,United States,1719548310,1719548311,-83.9922,35.8058,,True,0,78.75,,,,5220,False,0,0
a3f120,DAL537  ,United States,1719548231,1719548240,-77.0407,38.8524,,True,0,258.75,,,,7107,False,0,0
adecb6,DAL2780 ,United States,1719609654,1719609654,-87.6321,33.0974,9136.38,False,250.86,262.1,0,,9776.46,7275,False,0,1
a3ed69,DAL1866 ,United States,1719609655,1719609655,-84.6602,33.6316,906.78,False,97.75,89.7,0,,937.26,1172,False,0,0
ab4c76,,United States,,1719609652,,,,False,0.06,84.38,,,,,False,0,0
ac789b,SWA1512 ,United States,1719609655,1719609655,-89.9341,40.2051,9448.8,False,244.56,30.88,0,,9982.2,6341,False,0,0
a8e2d6,DAL1928 ,United States,1719609654,1719609654,-83.5155,28.7488,10363.2,False,246.96,341.04,0,,11033.76,6742,False,0,0
ab766a,DAL1002 ,United States,1719609654,1719609654,-96.7376,34.2604,10058.4,False,248.54,82.51,0,,10744.2,4101,False,0,0
a00c7a,DAL1919 ,United States,1719609655,1719609655,-79.2757,27.7233,10668,False,229.14,323.49,0,,11346.18,,False,0,0
4d012c,CLX61A  ,Luxembourg,1719609653,1719609653,-13.7462,54.7588,11887.2,False,269.74,108.92,0,,12138.66,,False,0,0
a7e24a,EDV4920 ,United States,1719609533,1719609533,-84.4252,33.6424,,True,0.06,264.38,,,,2145,False,0,1
a442f3,DAL1772 ,United States,1719609654,1719609654,-84.8423,31.9318,9037.32,False,201.59,349.26,-5.2,,9631.68,7007,False,0,0
a8f258,DAL406  ,United States,1719609654,1719609654,-104.4875,42.2452,11277.6,False,266.78,114.74,-0.33,,11727.18,,False,0,0
abe930,DAL1836 ,United States,1719609599,1719609599,-74.9946,23.6446,9753.6,False,232.45,320.57,0,,10363.2,,False,0,4
a3f120,DAL2168 ,United States,1719609654,1719609654,-82.8981,28.0846,10668,False,241.61,171.92,0,,11353.8,1101,False,0,0
a3be8f,DAL1804 ,United States,1719609653,1719609653,-94.5395,29.327,10058.4,False,223.02,56.86,0,,10728.96,3071,False,0,0
adecb6,DAL2780 ,United States,1719610587,1719610587,-90.1063,32.7913,9136.38,False,250.05,261.72,0.33,,9784.08,7275,False,0,1
ab4c76,SKW4137 ,United States,1719610585,1719610585,-84.3846,33.8159,3169.92,False,157.56,267.57,5.53,,3329.94,5745,False,0,0
040142,ETH519  ,Ethiopia,1719610584,1719610584,-11.6676,54.0052,11269.98,False,264.71,106.25,0,,11529.06,,False,0,0
a8e2d6,DAL1928 ,United States,1719610585,1719610585,-84.2857,30.683,10363.2,False,244.87,340.61,0,,11026.14,6742,False,0,0
ab1ffe,DAL1785 ,United States,1719610585,1719610585,-65.8784,17.3613,9753.6,False,243.24,312.43,0,,10347.96,,False,0,1
ab766a,DAL1002 ,United States,1719610566,1719610586,-94.293,34.5056,9448.8,False,251.5,83.78,0,,10081.26,4101,False,0,0
4d012c,CLX61A  ,Luxembourg,1719610585,1719610585,-10.2021,53.9894,11887.2,False,262.71,111.84,0,,12146.28,2005,False,0,0
a442f3,DAL1772 ,United States,1719610585,1719610585,-84.9335,33.2152,2628.9,False,151.17,49.97,-5.85,,2766.06,7007,False,0,0
a8f258,DAL406  ,United States,1719610585,1719610585,-101.7303,41.3627,11277.6,False,269.13,112.59,0,,11795.76,0702,False,0,0
a0669d,DAL1800 ,United States,1719610585,1719610585,-83.4735,26.8053,9151.62,False,245.05,2.17,-0.33,,9761.22,,False,0,0
a3f120,DAL2168 ,United States,1719610585,1719610585,-82.3101,26.1713,9471.66,False,234.63,157.71,-5.2,,10088.88,3327,False,0,0
a3be8f,DAL1804 ,United States,1719610586,1719610586,-92.7359,30.3351,10058.4,False,221.94,57.78,-0.33,,10728.96,3071,False,0,0
